CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6,cidade_norm,prefeito_apoia,sentimento_local_txt,distancia_tuntum_km,bonus_prefeito,score_proximidade,score_sentimento_local,fator_ancora_v7,score_municipal_v7,prioridade_v7,base_eleitoral_v8,peso_eleitoral,score_municipal_v8,prioridade_v8,cenario_conservador_v8,cenario_realista_v8,cenario_forte_v8,eficiencia_eleitoral,cluster_v9,acao_recomendada,municipio,prioridade_agenda,agenda_score,indice_consolidado,cd_mun,mapa_ok,cidade_norm_join,qtd_mencoes,sentimento_medio,engajamento_medio,alcance_medio,rejeicao_media,isd_v11,classificacao_isd,fontes,temas,indice_master_v12
Carutapera,200.0,1,70.0,60.0,60.5,60.5,63.2,carutapera,0,medio,250.0,0,55,60,50,49.21,D,1000.0,40,43.0525,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Carutapera,Sem classificação,43.0525,39.594625,2102903,True,carutapera,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Itapecuru mirim,250.0,1,70.0,60.0,60.5,60.5,63.2,itapecuru mirim,0,medio,250.0,0,55,60,50,49.21,D,1250.0,40,43.0525,D,225.0,250.0,287.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Itapecuru mirim,Sem classificação,43.0525,39.594625,2105401,True,itapecuru mirim,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Bacuri,500.0,1,70.0,60.0,60.5,60.5,63.2,bacuri,0,medio,250.0,0,55,60,50,49.21,D,2500.0,40,43.0525,D,450.0,500.0,575.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Bacuri,Sem classificação,43.0525,39.594625,2101301,True,bacuri,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Coelho Neto,150.0,1,70.0,60.0,60.5,60.5,63.2,coelho neto,0,medio,250.0,0,55,60,50,49.21,D,750.0,40,43.0525,D,135.0,150.0,172.5,20.0,Custo alto,Entrar com cautela e baixo custo político.,Coelho Neto,Sem classificação,43.0525,39.594625,2103406,True,coelho neto,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Paço do Lumiar,100.0,1,70.0,60.0,60.5,60.5,63.2,paco do lumiar,0,medio,250.0,0,55,60,50,49.21,D,500.0,40,43.0525,D,90.0,100.0,115.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Paço do Lumiar,Sem classificação,43.0525,39.594625,2107506,True,paco do lumiar,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Amapá do Maranhão,300.0,1,70.0,60.0,60.5,60.5,63.2,amapa do maranhao,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Amapá do Maranhão,Sem classificação,43.0525,39.594625,2100550,True,amapa do maranhao,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
São João do Soter,200.0,1,70.0,60.0,60.5,60.5,63.2,sao joao do soter,0,medio,250.0,0,55,60,50,49.21,D,1000.0,40,43.0525,D,180.0,200.0,230.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,São João do Soter,Sem classificação,43.0525,39.594625,2111078,True,sao joao do soter,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Senador Alexandre Costa,300.0,1,70.0,60.0,60.5,60.5,63.2,senador alexandre costa,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Senador Alexandre Costa,Sem classificação,43.0525,39.594625,2111748,True,senador alexandre costa,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Maracaçumé,300.0,1,70.0,60.0,60.5,60.5,63.2,maracacume,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Maracaçumé,Sem classificação,43.0525,39.594625,2106326,True,maracacume,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
Vargem Grande,300.0,1,70.0,60.0,60.5,60.5,63.2,vargem grande,0,medio,250.0,0,55,60,50,49.21,D,1500.0,40,43.0525,D,270.0,300.0,345.0,20.0,Custo alto,Entrar com cautela e baixo custo político.,Vargem Grande,Sem classificação,43.0525,39.594625,2112704,True,vargem grande,0.0,0.0,0.0,0.0,0.0,0.0,Sem dados digitais,,,27.7162375
