CIDADE,expectativa_total,total_liderancas,peso_medio_liderancas,forca_media_local,score_medio,score_maximo,score_municipal_v6,cidade_norm,prefeito_apoia,sentimento_local_txt,distancia_tuntum_km,bonus_prefeito,score_proximidade,score_sentimento_local,fator_ancora_v7,score_municipal_v7,prioridade_v7,base_eleitoral_v8,peso_eleitoral,score_municipal_v8,prioridade_v8,cenario_conservador_v8,cenario_realista_v8,cenario_forte_v8
S. Raimundo das Mangabeiras,1250.0,1,35.0,35.0,39.5,39.5,36.8,s. raimundo das mangabeiras,0,medio,250.0,0,55,60,50,41.29,D,6250.0,40,41.0725,D,1125.0,1250.0,1437.5
Santo Antônio dos Lopes,250.0,1,35.0,35.0,39.5,39.5,36.8,santo antônio dos lopes,0,medio,250.0,0,55,60,50,41.29,D,1250.0,40,41.0725,D,225.0,250.0,287.5
Milagres do Maranhão,700.0,1,35.0,35.0,39.5,39.5,36.8,milagres do maranhão,0,medio,250.0,0,55,60,50,41.29,D,3500.0,40,41.0725,D,630.0,700.0,804.9999999999999
Gov. Nunes Freire,100.0,1,35.0,35.0,39.5,39.5,36.8,gov. nunes freire,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
São Benedito,100.0,1,35.0,35.0,39.5,39.5,36.8,são benedito,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
Montes Altos,100.0,1,35.0,35.0,39.5,39.5,36.8,montes altos,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
Miranda do Norte,150.0,1,35.0,35.0,39.5,39.5,36.8,miranda do norte,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5
Santa Inês,200.0,1,35.0,35.0,39.5,39.5,36.8,santa inês,0,medio,250.0,0,55,60,50,41.29,D,1000.0,40,41.0725,D,180.0,200.0,229.99999999999997
Lagoa do Mato,300.0,1,35.0,35.0,39.5,39.5,36.8,lagoa do mato,0,medio,250.0,0,55,60,50,41.29,D,1500.0,40,41.0725,D,270.0,300.0,345.0
Ribeirãozinho/ Edison Lobão,600.0,1,35.0,35.0,39.5,39.5,36.8,ribeirãozinho/ edison lobão,0,medio,250.0,0,55,60,50,41.29,D,3000.0,40,41.0725,D,540.0,600.0,690.0
Ribamar Fiquene,150.0,1,35.0,35.0,39.5,39.5,36.8,ribamar fiquene,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5
Fernando Falcão,1000.0,1,35.0,35.0,39.5,39.5,36.8,fernando falcão,0,medio,250.0,0,55,60,50,41.29,D,5000.0,40,41.0725,D,900.0,1000.0,1150.0
Vitorino Freire,300.0,1,35.0,35.0,39.5,39.5,36.8,vitorino freire,0,medio,250.0,0,55,60,50,41.29,D,1500.0,40,41.0725,D,270.0,300.0,345.0
Pinheiro,100.0,1,35.0,35.0,39.5,39.5,36.8,pinheiro,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
Pastos Bons,250.0,1,35.0,35.0,39.5,39.5,36.8,pastos bons,0,medio,250.0,0,55,60,50,41.29,D,1250.0,40,41.0725,D,225.0,250.0,287.5
Joselândia,350.0,1,35.0,35.0,39.5,39.5,36.8,joselândia,0,medio,250.0,0,55,60,50,41.29,D,1750.0,40,41.0725,D,315.0,350.0,402.49999999999994
Pres. Juscelino ,100.0,1,35.0,35.0,39.5,39.5,36.8,pres. juscelino,0,medio,250.0,0,55,60,50,41.29,D,500.0,40,41.0725,D,90.0,100.0,114.99999999999999
João Lisboa,150.0,1,35.0,35.0,39.5,39.5,36.8,joão lisboa,0,medio,250.0,0,55,60,50,41.29,D,750.0,40,41.0725,D,135.0,150.0,172.5
Cândido Mendes,100.0,1,35.0,30.0,37.75,37.75,34.6,cândido mendes,0,medio,250.0,0,55,60,50,40.63,D,500.0,40,40.9075,D,90.0,100.0,114.99999999999999
Codó,200.0,1,35.0,30.0,37.75,37.75,34.6,codó,0,medio,250.0,0,55,60,50,40.63,D,1000.0,40,40.9075,D,180.0,200.0,229.99999999999997
